Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-30.59|15|0.6|0.169|1.491|1.64|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-30.60|15|0.6|0.146|1.4|1.54|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-30.61|15|0.45|0.161|1.518|1.67|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.21|0.21|0.3|0|0|1
A-30.62|15|0.75|0.17|1.564|1.72|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.63|15|0.45|0.154|2.009|2.21|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.21|0.21|0.3|0|0|1
A-30.64|15|0.75|0.11|1.818|2|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.65|15|0.45|0.125|2.009|2.21|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.21|0.21|0.3|0|0|1
A-30.66|15|0.75|0.103|2.4|2.64|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.67|15|0.6|0.144|2.945|3.24|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-30.68|15|0.45|0.123|3.145|3.46|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.21|0.21|0.3|0|0|1
A-30.69|15|0.6|0.112|3.018|3.32|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-31.4|15|0.1415|0.0755|1.1030090261|1.2133099287|0|0.1415|0|0|0|3|3|0.4|0.4|0.03|0.03|0.0835|0.1085|0.09145|0|0|1
A-31.6|13.18|0.1215|0.059|0.9121036177|1.0033139795|0|0.1215|0|0|0|3|3|0.4|0.4|0.03|0.03|0.0685|0.0935|0.09135|0|0|1
A-31.7|13.18|0.1315|0.075|1.1030090261|1.2133099287|0|0.1315|0|0|0|3|3|0.4|0.4|0.03|0.03|0.0585|0.0835|0.09135|0|0|1
A-31.8|13.18|0.1315|0.088|1.1242207381|1.2366428119|0|0.1315|0|0|0|3|3|0.4|0.4|0.03|0.03|0.0585|0.0835|0.09135|0|0|1
A-31.11|7.6|0.3465|0.0545|0.8484684816|0.9333153297|0|0.2665|0.1536|0|0|1.5|1.5|0.4|0.4|0.038|0.038|0.0635|0.0885|0.1152|0|0|1
A-31.12|7.6|0.3265|0.0835|1.0393738899|1.1433112789|0|0.2465|0.1536|0|0|1.5|1.5|0.4|0.4|0.038|0.038|0.0835|0.1085|0.1152|0|0|1
A-31.17|8.82|0.3415|0.0835|1.0393738899|1.1433112789|0|0.1665|0.155|0|0|1.5|1.5|0.4|0.4|0.038|0.038|0.0835|0.1085|0.115|0|0|1
A-31.22|8.82|0.3415|0.0835|1.0393738899|1.1433112789|0|0.1665|0.155|0|0|1.5|1.5|0.4|0.4|0.038|0.038|0.0835|0.1085|0.34|0|0|1
A-32.2|100|0.235|0.12225|1.8499324312|1.8499324312|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.3|100|0.235|0.128|1.8847174855|1.8847174855|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.4|100|0.235|0.11975|2.0396690908|2.0396690908|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.5|100|0.235|0.12375|2.0744541451|2.0744541451|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.6|100|0.235|0.11675|2.2135943621|2.2135943621|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.7|100|0.235|0.12175|2.3337609132|2.3337609132|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.8|100|0.235|0.12225|1.8499324312|1.8499324312|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0|0|0|1
A-32.11|100|0.235|0.128|1.8847174855|1.8847174855|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.22|0.22|0|0|0|1
A-32.13|100|0.235|0.12375|2.0744541451|2.0744541451|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.22|0.22|0|0|0|1
A-32.15|100|0.235|0.12175|2.3337609132|2.3337609132|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.22|0.22|0|0|0|1
A-32.17|100|0.235|0.12225|1.8499324312|1.8499324312|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.17|0.22|0|0|0|1
A-32.18|100|0.235|0.128|1.8847174855|1.8847174855|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.17|0.22|0|0|0|1
A-32.19|100|0.235|0.12225|1.8499324312|1.8499324312|0|0.1375|0.085|0|0|4|4|0.4|0.4|0.04|0.04|0.17|0.17|0|0|0|1
A-32.27|100|0.235|0.12225|1.8499324312|1.8499324312|0|0.1425|0.085|0|0|5|5|0.4|0.4|0.0361|0.0361|0.1675|0.1675|0.25|0|0|1
A-33.1|200|0.525|0.15595|1.4404343353|1.5844777689|0|0.525|0|0|0|2|2|0.4|0.4|0.06845|0.06845|0.18|0.18|0.2|0|0|1
A-33.2|200|0.525|0.1776|1.5186967145|1.670566386|0|0.525|0|0|0|2|2|0.4|0.4|0.06845|0.06845|0.18|0.18|0.2|0|0|1
